"","x"
"AFG",8237.63613957167
"ALB",2307.26504135132
"DZA",17027.5284610633
"ASM",450.697401046753
"AGO",7578.06866758317
"ATG",444.551092147827
"AZE",6240.85377502441
"ARG",16886.1626851931
"AUS",14489.4309598682
"AUT",3996.71674728394
"BHS",3381.60846918821
"BHR",1487.97705078125
"BGD",49948.4980392456
"ARM",1411.11899471283
"BRB",1075.72085571289
"BEL",6595.28649902344
"BMU",982.237854003906
"BTN",294.917590022087
"BOL",2827.42686974257
"BIH",1564.91351318359
"BWA",532.124752559583
"BRA",99324.0410967805
"BLZ",202.885009288788
"SLB",2740.23758339882
"BRN",665.432790160179
"BGR",3553.82371139526
"MMR",27140.3509891629
"BDI",2613.24536895752
"BLR",5476.37787532806
"KHM",4306.08737123013
"CMR",5994.09485602379
"CAN",19894.2855438405
"CPV",1678.76512908936
"CYM",242.082315444946
"CAF",975.575412295759
"LKA",18744.9339547157
"TCD",2636.15395869687
"CHL",10769.5411331337
"CHN",584872.274558844
"COL",21645.5699700862
"COM",1977.68036651611
"COG",3911.66619491577
"COD",14122.6179016121
"CRI",1474.16019535065
"HRV",3254.38425350189
"CUB",8830.91025710106
"CYP",1190.50993919373
"CZE",4915.61874008179
"BEN",2672.00195598602
"DNK",5295.54994440079
"DMA",178.39478302002
"DOM",7433.35546159744
"ECU",7368.34716762416
"SLV",2283.09189605713
"GNQ",737.982179641724
"ETH",20433.4748016596
"ERI",1229.9798579216
"EST",1490.41632473469
"FRO",149.475015759468
"FJI",2280.98920965195
"FIN",5098.71030862629
"FRA",36713.5417566299
"PYF",3426.10504305363
"DJI",615.617252826691
"GAB",803.202046811581
"GEO",2411.68170547485
"GMB",516.498199462891
"DEU",46235.7478218079
"GHA",8031.93853282928
"KIR",7362.22796010971
"GRC",14725.7854442596
"GRL",260.405400295923
"GRD",963.616744995117
"GUM",618.29411315918
"GTM",4124.69430541992
"GIN",4397.71277284622
"GUY",523.739407490939
"HTI",5857.9510345459
"HND",5668.64084708691
"HKG",7167.38427734375
"HUN",5301.05485916138
"ISL",1252.88885692507
"IND",424238.772432148
"IDN",142951.699986547
"IRN",31805.1279132366
"IRQ",9584.13577760756
"IRL",3267.61684036255
"ISR",4462.52259516716
"ITA",46980.7668082267
"CIV",6649.59370595217
"JAM",2934.70018005371
"JPN",88234.471818924
"KAZ",8022.3635815382
"JOR",1650.56103807688
"KEN",11098.2535634198
"KOR",29523.6792163849
"KWT",1791.25658416748
"KGZ",2840.98112106323
"LAO",1836.67088031769
"LBN",3272.89019012451
"LSO",715.334850311279
"LVA",3996.49980640411
"LBR",1856.02346849442
"LBY",2536.59931864589
"LTU",2041.92512702942
"LUX",152.091888427734
"MDG",7371.25663506985
"MWI",3960.76671218872
"MYS",14174.0849950314
"MDV",36072.0566940308
"MLI",3493.33635769412
"MLT",3948.47546386719
"MRT",1887.13655907242
"MUS",3437.43819236755
"MEX",39014.9966496701
"MNG",1195.83436872065
"MDA",2093.57173919678
"MNE",457.231632232666
"MAR",22248.7384462953
"MOZ",8687.82541444898
"OMN",1960.44563069288
"NAM",633.836407046707
"NRU",455.583404541016
"NPL",8420.30887183547
"NLD",11097.9014320374
"CUW",549.171310007572
"ABW",1075.55068969727
"VUT",717.660456061363
"NZL",3145.68002507769
"NIC",3085.83837866783
"NER",3559.18694861233
"NGA",45230.7877225876
"NOR",5776.29044526815
"FSM",12139.5951580703
"MHL",6369.33567619324
"PLW",315.17253112793
"PAK",56065.2130823731
"PAN",1929.20507279038
"PNG",4303.90971970558
"PRY",1678.69553328305
"PER",22632.8170946464
"PHL",74915.6853303909
"POL",21818.0375003815
"PRT",8097.0365729332
"GNB",637.112537384033
"TLS",775.056644439697
"PRI",3657.14889540523
"QAT",523.44523191452
"ROU",10465.9039024115
"RUS",91274.7368419301
"RWA",2738.60084533691
"STP",299.838109970093
"SAU",10332.4878284484
"SEN",14448.4233281612
"SRB",3360.90858650208
"SYC",1012.15913009644
"SLE",2618.84774208069
"SGP",2813.08422851562
"SVK",3018.83458709717
"VNM",45286.5680818558
"SVN",1059.31293678284
"SOM",2557.56248700619
"ZAF",21640.5975204939
"ZWE",3931.72781181335
"ESP",38455.9638569355
"SSD",1996.66362497211
"SDN",8567.31922242045
"SUR",196.763168670237
"SWE",9996.31935033202
"CHE",2683.92046833038
"SYR",7494.31566142291
"TJK",2503.88256675005
"THA",26758.6745510101
"TGO",1880.70481872559
"TON",1576.96922683716
"TTO",1762.59393692017
"ARE",1520.65456581116
"TUN",6824.4644420743
"TUR",42271.7687206268
"TKM",2665.72892093658
"TCA",233.663429021835
"TUV",2145.70700073242
"UGA",9558.77029418945
"UKR",28219.1995139122
"MKD",782.81854057312
"EGY",33262.3129371484
"GBR",44913.0989637375
"IMN",274.644622802734
"TZA",19022.5489473119
"USA",154593.620597831
"VIR",759.403495788574
"BFA",3835.34241437912
"URY",1520.42293009162
"UZB",9531.18099832535
"WSM",368.470643043518
"YEM",9209.08428771794
"ZMB",3244.70100855827
